Electoral wards and divisions Code,Electoral wards and divisions,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E05009317,Bethnal Green,-8,Does not apply,4006
E05009317,Bethnal Green,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1817
E05009317,Bethnal Green,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5619
E05009317,Bethnal Green,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,78
E05009317,Bethnal Green,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,133
E05009317,Bethnal Green,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,646
E05009317,Bethnal Green,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,632
E05009317,Bethnal Green,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,748
E05009317,Bethnal Green,8,Economically active and a full-time student: In employment: Employee: Part-time,426
E05009317,Bethnal Green,9,Economically active and a full-time student: In employment: Employee: Full-time,86
E05009317,Bethnal Green,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,5
E05009317,Bethnal Green,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009317,Bethnal Green,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,49
E05009317,Bethnal Green,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,11
E05009317,Bethnal Green,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,398
E05009317,Bethnal Green,15,Economically inactive: Retired,1023
E05009317,Bethnal Green,16,Economically inactive: Student,2546
E05009317,Bethnal Green,17,Economically inactive: Looking after home or family,1391
E05009317,Bethnal Green,18,Economically inactive: Long-term sick or disabled,679
E05009317,Bethnal Green,19,Economically inactive: Other,796
E05009318,Blackwall & Cubitt Town,-8,Does not apply,3249
E05009318,Blackwall & Cubitt Town,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1270
E05009318,Blackwall & Cubitt Town,2,Economically active (excluding full-time students): In employment: Employee: Full-time,9159
E05009318,Blackwall & Cubitt Town,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,62
E05009318,Blackwall & Cubitt Town,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,156
E05009318,Blackwall & Cubitt Town,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,566
E05009318,Blackwall & Cubitt Town,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,787
E05009318,Blackwall & Cubitt Town,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,906
E05009318,Blackwall & Cubitt Town,8,Economically active and a full-time student: In employment: Employee: Part-time,299
E05009318,Blackwall & Cubitt Town,9,Economically active and a full-time student: In employment: Employee: Full-time,194
E05009318,Blackwall & Cubitt Town,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,6
E05009318,Blackwall & Cubitt Town,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009318,Blackwall & Cubitt Town,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,63
E05009318,Blackwall & Cubitt Town,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,19
E05009318,Blackwall & Cubitt Town,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,260
E05009318,Blackwall & Cubitt Town,15,Economically inactive: Retired,672
E05009318,Blackwall & Cubitt Town,16,Economically inactive: Student,1655
E05009318,Blackwall & Cubitt Town,17,Economically inactive: Looking after home or family,1054
