Electoral wards and divisions Code,Electoral wards and divisions,Passports held (27 categories) Code,Passports held (27 categories),Observation
E05009317,Bethnal Green,-8,Does not apply,0
E05009317,Bethnal Green,1,Europe: United Kingdom,15114
E05009317,Bethnal Green,2,Europe: Ireland,188
E05009317,Bethnal Green,3,Europe: Other Europe: EU Member countries: France,303
E05009317,Bethnal Green,4,Europe: Other Europe: EU Member countries: Germany,124
E05009317,Bethnal Green,5,Europe: Other Europe: EU Member countries: Italy,915
E05009317,Bethnal Green,6,Europe: Other Europe: EU Member countries: Portugal,172
E05009317,Bethnal Green,7,Europe: Other Europe: EU Member countries: Spain,388
E05009317,Bethnal Green,8,Europe: Other Europe: EU Member countries: Lithuania,59
E05009317,Bethnal Green,9,Europe: Other Europe: EU Member countries: Poland,151
E05009317,Bethnal Green,10,Europe: Other Europe: EU Member countries: Romania,140
E05009317,Bethnal Green,11,Europe: Other Europe: EU Member countries: Other EU countries,589
E05009317,Bethnal Green,12,Europe: Other Europe: Rest of Europe: Turkey,42
E05009317,Bethnal Green,13,Europe: Other Europe: Rest of Europe: Other Europe,110
E05009317,Bethnal Green,14,Africa: North Africa,40
E05009317,Bethnal Green,15,Africa: Central and Western Africa,76
E05009317,Bethnal Green,16,Africa: South and Eastern Africa,44
E05009317,Bethnal Green,17,Middle East and Asia: Middle East,38
E05009317,Bethnal Green,18,Middle East and Asia: Eastern Asia,277
E05009317,Bethnal Green,19,Middle East and Asia: Southern Asia,768
E05009317,Bethnal Green,20,Middle East and Asia: South-East Asia,111
E05009317,Bethnal Green,21,Middle East and Asia: Central Asia,9
E05009317,Bethnal Green,22,The Americas and the Caribbean: North America and the Caribbean,177
E05009317,Bethnal Green,23,The Americas and the Caribbean: Central and South America,76
E05009317,Bethnal Green,24,"Antarctica and Oceania, including Australasia",170
E05009317,Bethnal Green,25,British Overseas Territories,0
E05009317,Bethnal Green,26,No passport held,1006
E05009318,Blackwall & Cubitt Town,-8,Does not apply,0
E05009318,Blackwall & Cubitt Town,1,Europe: United Kingdom,12348
E05009318,Blackwall & Cubitt Town,2,Europe: Ireland,217
E05009318,Blackwall & Cubitt Town,3,Europe: Other Europe: EU Member countries: France,430
E05009318,Blackwall & Cubitt Town,4,Europe: Other Europe: EU Member countries: Germany,219
E05009318,Blackwall & Cubitt Town,5,Europe: Other Europe: EU Member countries: Italy,839
E05009318,Blackwall & Cubitt Town,6,Europe: Other Europe: EU Member countries: Portugal,214
E05009318,Blackwall & Cubitt Town,7,Europe: Other Europe: EU Member countries: Spain,292
E05009318,Blackwall & Cubitt Town,8,Europe: Other Europe: EU Member countries: Lithuania,210
E05009318,Blackwall & Cubitt Town,9,Europe: Other Europe: EU Member countries: Poland,255
E05009318,Blackwall & Cubitt Town,10,Europe: Other Europe: EU Member countries: Romania,377
E05009318,Blackwall & Cubitt Town,11,Europe: Other Europe: EU Member countries: Other EU countries,1090
E05009318,Blackwall & Cubitt Town,12,Europe: Other Europe: Rest of Europe: Turkey,106
E05009318,Blackwall & Cubitt Town,13,Europe: Other Europe: Rest of Europe: Other Europe,397
E05009318,Blackwall & Cubitt Town,14,Africa: North Africa,80
E05009318,Blackwall & Cubitt Town,15,Africa: Central and Western Africa,153
E05009318,Blackwall & Cubitt Town,16,Africa: South and Eastern Africa,174
E05009318,Blackwall & Cubitt Town,17,Middle East and Asia: Middle East,69
E05009318,Blackwall & Cubitt Town,18,Middle East and Asia: Eastern Asia,819
E05009318,Blackwall & Cubitt Town,19,Middle East and Asia: Southern Asia,1395
E05009318,Blackwall & Cubitt Town,20,Middle East and Asia: South-East Asia,362
E05009318,Blackwall & Cubitt Town,21,Middle East and Asia: Central Asia,75
E05009318,Blackwall & Cubitt Town,22,The Americas and the Caribbean: North America and the Caribbean,226
E05009318,Blackwall & Cubitt Town,23,The Americas and the Caribbean: Central and South America,194
E05009318,Blackwall & Cubitt Town,24,"Antarctica and Oceania, including Australasia",151
E05009318,Blackwall & Cubitt Town,25,British Overseas Territories,0
E05009318,Blackwall & Cubitt Town,26,No passport held,733
E05009319,Bow East,-8,Does not apply,0
E05009319,Bow East,1,Europe: United Kingdom,14536
E05009319,Bow East,2,Europe: Ireland,280
E05009319,Bow East,3,Europe: Other Europe: EU Member countries: France,224
E05009319,Bow East,4,Europe: Other Europe: EU Member countries: Germany,104
E05009319,Bow East,5,Europe: Other Europe: EU Member countries: Italy,693
E05009319,Bow East,6,Europe: Other Europe: EU Member countries: Portugal,155
E05009319,Bow East,7,Europe: Other Europe: EU Member countries: Spain,327
E05009319,Bow East,8,Europe: Other Europe: EU Member countries: Lithuania,105
E05009319,Bow East,9,Europe: Other Europe: EU Member countries: Poland,173
E05009319,Bow East,10,Europe: Other Europe: EU Member countries: Romania,142
E05009319,Bow East,11,Europe: Other Europe: EU Member countries: Other EU countries,548
E05009319,Bow East,12,Europe: Other Europe: Rest of Europe: Turkey,25
E05009319,Bow East,13,Europe: Other Europe: Rest of Europe: Other Europe,96
E05009319,Bow East,14,Africa: North Africa,23
E05009319,Bow East,15,Africa: Central and Western Africa,72
E05009319,Bow East,16,Africa: South and Eastern Africa,51
E05009319,Bow East,17,Middle East and Asia: Middle East,13
E05009319,Bow East,18,Middle East and Asia: Eastern Asia,100
E05009319,Bow East,19,Middle East and Asia: Southern Asia,359
E05009319,Bow East,20,Middle East and Asia: South-East Asia,78
E05009319,Bow East,21,Middle East and Asia: Central Asia,6
E05009319,Bow East,22,The Americas and the Caribbean: North America and the Caribbean,153
E05009319,Bow East,23,The Americas and the Caribbean: Central and South America,94
E05009319,Bow East,24,"Antarctica and Oceania, including Australasia",175
E05009319,Bow East,25,British Overseas Territories,0
E05009319,Bow East,26,No passport held,997
E05009320,Bow West,-8,Does not apply,0
E05009320,Bow West,1,Europe: United Kingdom,10427
E05009320,Bow West,2,Europe: Ireland,196
E05009320,Bow West,3,Europe: Other Europe: EU Member countries: France,163
E05009320,Bow West,4,Europe: Other Europe: EU Member countries: Germany,88
