Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05009317,Bethnal Green,-8,Does not apply,0
E05009317,Bethnal Green,1,Very good health,10984
E05009317,Bethnal Green,2,Good health,6849
E05009317,Bethnal Green,3,Fair health,2172
E05009317,Bethnal Green,4,Bad health,839
E05009317,Bethnal Green,5,Very bad health,247
E05009318,Blackwall & Cubitt Town,-8,Does not apply,0
E05009318,Blackwall & Cubitt Town,1,Very good health,12401
E05009318,Blackwall & Cubitt Town,2,Good health,6802
E05009318,Blackwall & Cubitt Town,3,Fair health,1591
E05009318,Blackwall & Cubitt Town,4,Bad health,475
E05009318,Blackwall & Cubitt Town,5,Very bad health,157
E05009319,Bow East,-8,Does not apply,0
E05009319,Bow East,1,Very good health,10492
E05009319,Bow East,2,Good health,6147
E05009319,Bow East,3,Fair health,1930
E05009319,Bow East,4,Bad health,690
E05009319,Bow East,5,Very bad health,267
E05009320,Bow West,-8,Does not apply,0
E05009320,Bow West,1,Very good health,7249
E05009320,Bow West,2,Good health,4280
E05009320,Bow West,3,Fair health,1446
E05009320,Bow West,4,Bad health,549
E05009320,Bow West,5,Very bad health,187
E05009321,Bromley North,-8,Does not apply,0
E05009321,Bromley North,1,Very good health,5743
E05009321,Bromley North,2,Good health,3930
E05009321,Bromley North,3,Fair health,1373
E05009321,Bromley North,4,Bad health,466
E05009321,Bromley North,5,Very bad health,191
E05009322,Bromley South,-8,Does not apply,0
E05009322,Bromley South,1,Very good health,7238
E05009322,Bromley South,2,Good health,4508
E05009322,Bromley South,3,Fair health,1480
E05009322,Bromley South,4,Bad health,566
E05009322,Bromley South,5,Very bad health,175
E05009323,Canary Wharf,-8,Does not apply,0
E05009323,Canary Wharf,1,Very good health,10233
E05009323,Canary Wharf,2,Good health,5782
E05009323,Canary Wharf,3,Fair health,1440
E05009323,Canary Wharf,4,Bad health,373
E05009323,Canary Wharf,5,Very bad health,149
E05009324,Island Gardens,-8,Does not apply,0
E05009324,Island Gardens,1,Very good health,8406
E05009324,Island Gardens,2,Good health,4935
E05009324,Island Gardens,3,Fair health,1359
E05009324,Island Gardens,4,Bad health,456
E05009324,Island Gardens,5,Very bad health,148
E05009325,Lansbury,-8,Does not apply,0
E05009325,Lansbury,1,Very good health,11241
E05009325,Lansbury,2,Good health,6939
E05009325,Lansbury,3,Fair health,2367
E05009325,Lansbury,4,Bad health,858
E05009325,Lansbury,5,Very bad health,301
E05009326,Limehouse,-8,Does not apply,0
E05009326,Limehouse,1,Very good health,3649
E05009326,Limehouse,2,Good health,2185
E05009326,Limehouse,3,Fair health,477
E05009326,Limehouse,4,Bad health,182
E05009326,Limehouse,5,Very bad health,60
E05009327,Mile End (Tower Hamlets),-8,Does not apply,0
E05009327,Mile End (Tower Hamlets),1,Very good health,11259
