Electoral wards and divisions Code,Electoral wards and divisions,Household composition (15 categories) Code,Household composition (15 categories),Observation
E05009317,Bethnal Green,-8,Does not apply,0
E05009317,Bethnal Green,1,One-person household: Aged 66 years and over,420
E05009317,Bethnal Green,2,One-person household: Other,1602
E05009317,Bethnal Green,3,Single family household: All aged 66 years and over,100
E05009317,Bethnal Green,4,Single family household: Married or civil partnership couple: No children,375
E05009317,Bethnal Green,5,Single family household: Married or civil partnership couple: Dependent children,1174
E05009317,Bethnal Green,6,Single family household: Married or civil partnership couple: All children non-dependent,212
E05009317,Bethnal Green,7,Single family household: Cohabiting couple family: No children,634
E05009317,Bethnal Green,8,Single family household: Cohabiting couple family: With dependent children,193
E05009317,Bethnal Green,9,Single family household: Cohabiting couple family: All children non-dependent,28
E05009317,Bethnal Green,10,Single family household: Lone parent family: With dependent children,575
E05009317,Bethnal Green,11,Single family household: Lone parent family: All children non-dependent,402
E05009317,Bethnal Green,12,Other household types: Other related household: Other family composition,196
E05009317,Bethnal Green,13,Other household types: With dependent children,293
E05009317,Bethnal Green,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1045
E05009318,Blackwall & Cubitt Town,-8,Does not apply,0
E05009318,Blackwall & Cubitt Town,1,One-person household: Aged 66 years and over,209
E05009318,Blackwall & Cubitt Town,2,One-person household: Other,3241
E05009318,Blackwall & Cubitt Town,3,Single family household: All aged 66 years and over,76
E05009318,Blackwall & Cubitt Town,4,Single family household: Married or civil partnership couple: No children,1045
E05009318,Blackwall & Cubitt Town,5,Single family household: Married or civil partnership couple: Dependent children,1045
E05009318,Blackwall & Cubitt Town,6,Single family household: Married or civil partnership couple: All children non-dependent,119
E05009318,Blackwall & Cubitt Town,7,Single family household: Cohabiting couple family: No children,1211
E05009318,Blackwall & Cubitt Town,8,Single family household: Cohabiting couple family: With dependent children,175
E05009318,Blackwall & Cubitt Town,9,Single family household: Cohabiting couple family: All children non-dependent,24
E05009318,Blackwall & Cubitt Town,10,Single family household: Lone parent family: With dependent children,494
E05009318,Blackwall & Cubitt Town,11,Single family household: Lone parent family: All children non-dependent,237
E05009318,Blackwall & Cubitt Town,12,Other household types: Other related household: Other family composition,265
E05009318,Blackwall & Cubitt Town,13,Other household types: With dependent children,236
E05009318,Blackwall & Cubitt Town,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1134
E05009319,Bow East,-8,Does not apply,0
E05009319,Bow East,1,One-person household: Aged 66 years and over,490
E05009319,Bow East,2,One-person household: Other,2228
E05009319,Bow East,3,Single family household: All aged 66 years and over,95
E05009319,Bow East,4,Single family household: Married or civil partnership couple: No children,564
E05009319,Bow East,5,Single family household: Married or civil partnership couple: Dependent children,875
E05009319,Bow East,6,Single family household: Married or civil partnership couple: All children non-dependent,194
E05009319,Bow East,7,Single family household: Cohabiting couple family: No children,1237
E05009319,Bow East,8,Single family household: Cohabiting couple family: With dependent children,252
E05009319,Bow East,9,Single family household: Cohabiting couple family: All children non-dependent,32
E05009319,Bow East,10,Single family household: Lone parent family: With dependent children,614
