Electoral wards and divisions Code,Electoral wards and divisions,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E05009317,Bethnal Green,-8,Does not apply,11587
E05009317,Bethnal Green,1,"1. Managers, directors and senior officials",1089
E05009317,Bethnal Green,2,2. Professional occupations,2692
E05009317,Bethnal Green,3,3. Associate professional and technical occupations,1690
E05009317,Bethnal Green,4,4. Administrative and secretarial occupations,741
E05009317,Bethnal Green,5,5. Skilled trades occupations,527
E05009317,Bethnal Green,6,"6. Caring, leisure and other service occupations",659
E05009317,Bethnal Green,7,7. Sales and customer service occupations,780
E05009317,Bethnal Green,8,"8. Process, plant and machine operatives",473
E05009317,Bethnal Green,9,9. Elementary occupations,852
E05009318,Blackwall & Cubitt Town,-8,Does not apply,8843
E05009318,Blackwall & Cubitt Town,1,"1. Managers, directors and senior officials",2099
E05009318,Blackwall & Cubitt Town,2,2. Professional occupations,4695
E05009318,Blackwall & Cubitt Town,3,3. Associate professional and technical occupations,2297
E05009318,Blackwall & Cubitt Town,4,4. Administrative and secretarial occupations,861
E05009318,Blackwall & Cubitt Town,5,5. Skilled trades occupations,454
E05009318,Blackwall & Cubitt Town,6,"6. Caring, leisure and other service occupations",513
E05009318,Blackwall & Cubitt Town,7,7. Sales and customer service occupations,667
E05009318,Blackwall & Cubitt Town,8,"8. Process, plant and machine operatives",357
E05009318,Blackwall & Cubitt Town,9,9. Elementary occupations,636
E05009319,Bow East,-8,Does not apply,8640
E05009319,Bow East,1,"1. Managers, directors and senior officials",1631
E05009319,Bow East,2,2. Professional occupations,3523
E05009319,Bow East,3,3. Associate professional and technical occupations,2252
E05009319,Bow East,4,4. Administrative and secretarial occupations,694
E05009319,Bow East,5,5. Skilled trades occupations,455
E05009319,Bow East,6,"6. Caring, leisure and other service occupations",646
E05009319,Bow East,7,7. Sales and customer service occupations,576
E05009319,Bow East,8,"8. Process, plant and machine operatives",398
E05009319,Bow East,9,9. Elementary occupations,711
E05009320,Bow West,-8,Does not apply,6459
E05009320,Bow West,1,"1. Managers, directors and senior officials",921
E05009320,Bow West,2,2. Professional occupations,2258
E05009320,Bow West,3,3. Associate professional and technical occupations,1478
E05009320,Bow West,4,4. Administrative and secretarial occupations,533
E05009320,Bow West,5,5. Skilled trades occupations,355
E05009320,Bow West,6,"6. Caring, leisure and other service occupations",394
E05009320,Bow West,7,7. Sales and customer service occupations,422
E05009320,Bow West,8,"8. Process, plant and machine operatives",292
E05009320,Bow West,9,9. Elementary occupations,599
E05009321,Bromley North,-8,Does not apply,6317
E05009321,Bromley North,1,"1. Managers, directors and senior officials",533
E05009321,Bromley North,2,2. Professional occupations,1409
E05009321,Bromley North,3,3. Associate professional and technical occupations,859
E05009321,Bromley North,4,4. Administrative and secretarial occupations,410
E05009321,Bromley North,5,5. Skilled trades occupations,334
E05009321,Bromley North,6,"6. Caring, leisure and other service occupations",410
E05009321,Bromley North,7,7. Sales and customer service occupations,512
E05009321,Bromley North,8,"8. Process, plant and machine operatives",313
E05009321,Bromley North,9,9. Elementary occupations,603
E05009322,Bromley South,-8,Does not apply,7494
E05009322,Bromley South,1,"1. Managers, directors and senior officials",674
E05009322,Bromley South,2,2. Professional occupations,1836
E05009322,Bromley South,3,3. Associate professional and technical occupations,1067
E05009322,Bromley South,4,4. Administrative and secretarial occupations,499
E05009322,Bromley South,5,5. Skilled trades occupations,350
E05009322,Bromley South,6,"6. Caring, leisure and other service occupations",507
E05009322,Bromley South,7,7. Sales and customer service occupations,545
E05009322,Bromley South,8,"8. Process, plant and machine operatives",382
E05009322,Bromley South,9,9. Elementary occupations,610
E05009323,Canary Wharf,-8,Does not apply,7302
E05009323,Canary Wharf,1,"1. Managers, directors and senior officials",1906
E05009323,Canary Wharf,2,2. Professional occupations,4310
E05009323,Canary Wharf,3,3. Associate professional and technical occupations,1829
E05009323,Canary Wharf,4,4. Administrative and secretarial occupations,702
E05009323,Canary Wharf,5,5. Skilled trades occupations,314
E05009323,Canary Wharf,6,"6. Caring, leisure and other service occupations",379
E05009323,Canary Wharf,7,7. Sales and customer service occupations,498
E05009323,Canary Wharf,8,"8. Process, plant and machine operatives",256
E05009323,Canary Wharf,9,9. Elementary occupations,479
E05009324,Island Gardens,-8,Does not apply,7086
E05009324,Island Gardens,1,"1. Managers, directors and senior officials",1299
E05009324,Island Gardens,2,2. Professional occupations,2719
E05009324,Island Gardens,3,3. Associate professional and technical occupations,1349
E05009324,Island Gardens,4,4. Administrative and secretarial occupations,631
E05009324,Island Gardens,5,5. Skilled trades occupations,399
E05009324,Island Gardens,6,"6. Caring, leisure and other service occupations",416
E05009324,Island Gardens,7,7. Sales and customer service occupations,496
E05009324,Island Gardens,8,"8. Process, plant and machine operatives",296
E05009324,Island Gardens,9,9. Elementary occupations,612
E05009325,Lansbury,-8,Does not apply,12303
E05009325,Lansbury,1,"1. Managers, directors and senior officials",1044
E05009325,Lansbury,2,2. Professional occupations,2382
E05009325,Lansbury,3,3. Associate professional and technical occupations,1517
E05009325,Lansbury,4,4. Administrative and secretarial occupations,776
E05009325,Lansbury,5,5. Skilled trades occupations,618
E05009325,Lansbury,6,"6. Caring, leisure and other service occupations",722
E05009325,Lansbury,7,7. Sales and customer service occupations,749
E05009325,Lansbury,8,"8. Process, plant and machine operatives",589
E05009325,Lansbury,9,9. Elementary occupations,1006
E05009326,Limehouse,-8,Does not apply,2358
E05009326,Limehouse,1,"1. Managers, directors and senior officials",733
E05009326,Limehouse,2,2. Professional occupations,1580
E05009326,Limehouse,3,3. Associate professional and technical occupations,799
E05009326,Limehouse,4,4. Administrative and secretarial occupations,245
E05009326,Limehouse,5,5. Skilled trades occupations,120
E05009326,Limehouse,6,"6. Caring, leisure and other service occupations",167
E05009326,Limehouse,7,7. Sales and customer service occupations,141
E05009326,Limehouse,8,"8. Process, plant and machine operatives",82
E05009326,Limehouse,9,9. Elementary occupations,328
E05009327,Mile End (Tower Hamlets),-8,Does not apply,11461
E05009327,Mile End (Tower Hamlets),1,"1. Managers, directors and senior officials",1117
E05009327,Mile End (Tower Hamlets),2,2. Professional occupations,2831
E05009327,Mile End (Tower Hamlets),3,3. Associate professional and technical occupations,1712
E05009327,Mile End (Tower Hamlets),4,4. Administrative and secretarial occupations,806
E05009327,Mile End (Tower Hamlets),5,5. Skilled trades occupations,607
E05009327,Mile End (Tower Hamlets),6,"6. Caring, leisure and other service occupations",770
E05009327,Mile End (Tower Hamlets),7,7. Sales and customer service occupations,762
E05009327,Mile End (Tower Hamlets),8,"8. Process, plant and machine operatives",576
E05009327,Mile End (Tower Hamlets),9,9. Elementary occupations,1010
E05009328,Poplar (Tower Hamlets),-8,Does not apply,4671
E05009328,Poplar (Tower Hamlets),1,"1. Managers, directors and senior officials",346
E05009328,Poplar (Tower Hamlets),2,2. Professional occupations,850
E05009328,Poplar (Tower Hamlets),3,3. Associate professional and technical occupations,503
E05009328,Poplar (Tower Hamlets),4,4. Administrative and secretarial occupations,240
E05009328,Poplar (Tower Hamlets),5,5. Skilled trades occupations,242
E05009328,Poplar (Tower Hamlets),6,"6. Caring, leisure and other service occupations",282
E05009328,Poplar (Tower Hamlets),7,7. Sales and customer service occupations,329
E05009328,Poplar (Tower Hamlets),8,"8. Process, plant and machine operatives",212
E05009328,Poplar (Tower Hamlets),9,9. Elementary occupations,393
E05009329,St Dunstan's,-8,Does not apply,8616
E05009329,St Dunstan's,1,"1. Managers, directors and senior officials",589
E05009329,St Dunstan's,2,2. Professional occupations,1683
E05009329,St Dunstan's,3,3. Associate professional and technical occupations,990
E05009329,St Dunstan's,4,4. Administrative and secretarial occupations,508
E05009329,St Dunstan's,5,5. Skilled trades occupations,359
E05009329,St Dunstan's,6,"6. Caring, leisure and other service occupations",453
E05009329,St Dunstan's,7,7. Sales and customer service occupations,551
E05009329,St Dunstan's,8,"8. Process, plant and machine operatives",389
E05009329,St Dunstan's,9,9. Elementary occupations,605
E05009330,St Katharine's & Wapping,-8,Does not apply,4193
E05009330,St Katharine's & Wapping,1,"1. Managers, directors and senior officials",1539
E05009330,St Katharine's & Wapping,2,2. Professional occupations,3109
E05009330,St Katharine's & Wapping,3,3. Associate professional and technical occupations,1522
E05009330,St Katharine's & Wapping,4,4. Administrative and secretarial occupations,456
E05009330,St Katharine's & Wapping,5,5. Skilled trades occupations,197
E05009330,St Katharine's & Wapping,6,"6. Caring, leisure and other service occupations",225
E05009330,St Katharine's & Wapping,7,7. Sales and customer service occupations,240
E05009330,St Katharine's & Wapping,8,"8. Process, plant and machine operatives",170
E05009330,St Katharine's & Wapping,9,9. Elementary occupations,310
E05009331,St Peter's (Tower Hamlets),-8,Does not apply,9999
E05009331,St Peter's (Tower Hamlets),1,"1. Managers, directors and senior officials",1177
E05009331,St Peter's (Tower Hamlets),2,2. Professional occupations,2864
E05009331,St Peter's (Tower Hamlets),3,3. Associate professional and technical occupations,2014
E05009331,St Peter's (Tower Hamlets),4,4. Administrative and secretarial occupations,654
E05009331,St Peter's (Tower Hamlets),5,5. Skilled trades occupations,463
E05009331,St Peter's (Tower Hamlets),6,"6. Caring, leisure and other service occupations",599
E05009331,St Peter's (Tower Hamlets),7,7. Sales and customer service occupations,682
E05009331,St Peter's (Tower Hamlets),8,"8. Process, plant and machine operatives",510
E05009331,St Peter's (Tower Hamlets),9,9. Elementary occupations,818
E05009332,Shadwell,-8,Does not apply,7816
E05009332,Shadwell,1,"1. Managers, directors and senior officials",490
E05009332,Shadwell,2,2. Professional occupations,1278
E05009332,Shadwell,3,3. Associate professional and technical occupations,829
E05009332,Shadwell,4,4. Administrative and secretarial occupations,469
E05009332,Shadwell,5,5. Skilled trades occupations,373
E05009332,Shadwell,6,"6. Caring, leisure and other service occupations",458
E05009332,Shadwell,7,7. Sales and customer service occupations,549
E05009332,Shadwell,8,"8. Process, plant and machine operatives",364
E05009332,Shadwell,9,9. Elementary occupations,649
E05009333,Spitalfields & Banglatown,-8,Does not apply,6922
E05009333,Spitalfields & Banglatown,1,"1. Managers, directors and senior officials",804
E05009333,Spitalfields & Banglatown,2,2. Professional occupations,2110
E05009333,Spitalfields & Banglatown,3,3. Associate professional and technical occupations,1220
E05009333,Spitalfields & Banglatown,4,4. Administrative and secretarial occupations,418
E05009333,Spitalfields & Banglatown,5,5. Skilled trades occupations,287
E05009333,Spitalfields & Banglatown,6,"6. Caring, leisure and other service occupations",334
E05009333,Spitalfields & Banglatown,7,7. Sales and customer service occupations,467
E05009333,Spitalfields & Banglatown,8,"8. Process, plant and machine operatives",288
E05009333,Spitalfields & Banglatown,9,9. Elementary occupations,490
E05009334,Stepney Green,-8,Does not apply,7148
E05009334,Stepney Green,1,"1. Managers, directors and senior officials",486
E05009334,Stepney Green,2,2. Professional occupations,1142
E05009334,Stepney Green,3,3. Associate professional and technical occupations,795
E05009334,Stepney Green,4,4. Administrative and secretarial occupations,485
E05009334,Stepney Green,5,5. Skilled trades occupations,344
E05009334,Stepney Green,6,"6. Caring, leisure and other service occupations",485
E05009334,Stepney Green,7,7. Sales and customer service occupations,486
E05009334,Stepney Green,8,"8. Process, plant and machine operatives",364
E05009334,Stepney Green,9,9. Elementary occupations,608
E05009335,Weavers,-8,Does not apply,6386
E05009335,Weavers,1,"1. Managers, directors and senior officials",956
E05009335,Weavers,2,2. Professional occupations,2269
E05009335,Weavers,3,3. Associate professional and technical occupations,1414
E05009335,Weavers,4,4. Administrative and secretarial occupations,421
E05009335,Weavers,5,5. Skilled trades occupations,307
E05009335,Weavers,6,"6. Caring, leisure and other service occupations",376
E05009335,Weavers,7,7. Sales and customer service occupations,424
E05009335,Weavers,8,"8. Process, plant and machine operatives",304
E05009335,Weavers,9,9. Elementary occupations,482
E05009336,Whitechapel,-8,Does not apply,9312
E05009336,Whitechapel,1,"1. Managers, directors and senior officials",1196
E05009336,Whitechapel,2,2. Professional occupations,3478
E05009336,Whitechapel,3,3. Associate professional and technical occupations,1684
E05009336,Whitechapel,4,4. Administrative and secretarial occupations,633
E05009336,Whitechapel,5,5. Skilled trades occupations,405
E05009336,Whitechapel,6,"6. Caring, leisure and other service occupations",477
E05009336,Whitechapel,7,7. Sales and customer service occupations,594
E05009336,Whitechapel,8,"8. Process, plant and machine operatives",330
E05009336,Whitechapel,9,9. Elementary occupations,731
E05009367,Brownswood,-8,Does not apply,3632
E05009367,Brownswood,1,"1. Managers, directors and senior officials",791
E05009367,Brownswood,2,2. Professional occupations,1971
E05009367,Brownswood,3,3. Associate professional and technical occupations,1120
E05009367,Brownswood,4,4. Administrative and secretarial occupations,289
E05009367,Brownswood,5,5. Skilled trades occupations,250
E05009367,Brownswood,6,"6. Caring, leisure and other service occupations",275
E05009367,Brownswood,7,7. Sales and customer service occupations,259
E05009367,Brownswood,8,"8. Process, plant and machine operatives",127
E05009367,Brownswood,9,9. Elementary occupations,300
E05009368,Cazenove,-8,Does not apply,8496
E05009368,Cazenove,1,"1. Managers, directors and senior officials",813
E05009368,Cazenove,2,2. Professional occupations,1915
E05009368,Cazenove,3,3. Associate professional and technical occupations,1041
E05009368,Cazenove,4,4. Administrative and secretarial occupations,843
E05009368,Cazenove,5,5. Skilled trades occupations,344
E05009368,Cazenove,6,"6. Caring, leisure and other service occupations",623
E05009368,Cazenove,7,7. Sales and customer service occupations,416
E05009368,Cazenove,8,"8. Process, plant and machine operatives",278
E05009368,Cazenove,9,9. Elementary occupations,565
E05009369,Clissold,-8,Does not apply,5307
E05009369,Clissold,1,"1. Managers, directors and senior officials",1141
E05009369,Clissold,2,2. Professional occupations,2413
E05009369,Clissold,3,3. Associate professional and technical occupations,1697
E05009369,Clissold,4,4. Administrative and secretarial occupations,403
E05009369,Clissold,5,5. Skilled trades occupations,359
E05009369,Clissold,6,"6. Caring, leisure and other service occupations",399
E05009369,Clissold,7,7. Sales and customer service occupations,321
E05009369,Clissold,8,"8. Process, plant and machine operatives",162
E05009369,Clissold,9,9. Elementary occupations,379
E05009370,Dalston,-8,Does not apply,3191
E05009370,Dalston,1,"1. Managers, directors and senior officials",920
E05009370,Dalston,2,2. Professional occupations,1966
E05009370,Dalston,3,3. Associate professional and technical occupations,1397
E05009370,Dalston,4,4. Administrative and secretarial occupations,323
E05009370,Dalston,5,5. Skilled trades occupations,208
E05009370,Dalston,6,"6. Caring, leisure and other service occupations",268
E05009370,Dalston,7,7. Sales and customer service occupations,226
E05009370,Dalston,8,"8. Process, plant and machine operatives",109
E05009370,Dalston,9,9. Elementary occupations,270
E05009371,De Beauvoir,-8,Does not apply,3825
E05009371,De Beauvoir,1,"1. Managers, directors and senior officials",912
E05009371,De Beauvoir,2,2. Professional occupations,1797
E05009371,De Beauvoir,3,3. Associate professional and technical occupations,1217
E05009371,De Beauvoir,4,4. Administrative and secretarial occupations,269
E05009371,De Beauvoir,5,5. Skilled trades occupations,238
