Electoral wards and divisions Code,Electoral wards and divisions,Residence type (2 categories) Code,Residence type (2 categories),Observation
E05009317,Bethnal Green,1,Lives in a household,19417
E05009317,Bethnal Green,2,Lives in a communal establishment,1673
E05009318,Blackwall & Cubitt Town,1,Lives in a household,21426
E05009318,Blackwall & Cubitt Town,2,Lives in a communal establishment,0
E05009319,Bow East,1,Lives in a household,19523
E05009319,Bow East,2,Lives in a communal establishment,3
E05009320,Bow West,1,Lives in a household,13701
E05009320,Bow West,2,Lives in a communal establishment,10
E05009321,Bromley North,1,Lives in a household,11685
E05009321,Bromley North,2,Lives in a communal establishment,17
E05009322,Bromley South,1,Lives in a household,13960
E05009322,Bromley South,2,Lives in a communal establishment,4
E05009323,Canary Wharf,1,Lives in a household,17966
E05009323,Canary Wharf,2,Lives in a communal establishment,10
E05009324,Island Gardens,1,Lives in a household,15300
E05009324,Island Gardens,2,Lives in a communal establishment,7
E05009325,Lansbury,1,Lives in a household,21592
E05009325,Lansbury,2,Lives in a communal establishment,115
E05009326,Limehouse,1,Lives in a household,6506
E05009326,Limehouse,2,Lives in a communal establishment,49
E05009327,Mile End (Tower Hamlets),1,Lives in a household,21567
E05009327,Mile End (Tower Hamlets),2,Lives in a communal establishment,85
E05009328,Poplar (Tower Hamlets),1,Lives in a household,8022
E05009328,Poplar (Tower Hamlets),2,Lives in a communal establishment,47
E05009329,St Dunstan's,1,Lives in a household,14395
E05009329,St Dunstan's,2,Lives in a communal establishment,352
E05009330,St Katharine's & Wapping,1,Lives in a household,11961
E05009330,St Katharine's & Wapping,2,Lives in a communal establishment,0
E05009331,St Peter's (Tower Hamlets),1,Lives in a household,18558
E05009331,St Peter's (Tower Hamlets),2,Lives in a communal establishment,1221
E05009332,Shadwell,1,Lives in a household,12784
E05009332,Shadwell,2,Lives in a communal establishment,494
E05009333,Spitalfields & Banglatown,1,Lives in a household,12413
E05009333,Spitalfields & Banglatown,2,Lives in a communal establishment,927
E05009334,Stepney Green,1,Lives in a household,12127
E05009334,Stepney Green,2,Lives in a communal establishment,216
E05009335,Weavers,1,Lives in a household,13158
E05009335,Weavers,2,Lives in a communal establishment,181
E05009336,Whitechapel,1,Lives in a household,17621
E05009336,Whitechapel,2,Lives in a communal establishment,1220
E05009367,Brownswood,1,Lives in a household,8974
E05009367,Brownswood,2,Lives in a communal establishment,39
E05009368,Cazenove,1,Lives in a household,15334
E05009368,Cazenove,2,Lives in a communal establishment,0
E05009369,Clissold,1,Lives in a household,12574
E05009369,Clissold,2,Lives in a communal establishment,5
E05009370,Dalston,1,Lives in a household,8798
E05009370,Dalston,2,Lives in a communal establishment,82
E05009371,De Beauvoir,1,Lives in a household,9195
E05009371,De Beauvoir,2,Lives in a communal establishment,0
E05009372,Hackney Central,1,Lives in a household,12713
E05009372,Hackney Central,2,Lives in a communal establishment,6
E05009373,Hackney Downs,1,Lives in a household,12977
E05009373,Hackney Downs,2,Lives in a communal establishment,22
E05009374,Hackney Wick,1,Lives in a household,12002
E05009374,Hackney Wick,2,Lives in a communal establishment,304
E05009375,Haggerston,1,Lives in a household,14311
E05009375,Haggerston,2,Lives in a communal establishment,98
E05009376,Homerton,1,Lives in a household,13080
E05009376,Homerton,2,Lives in a communal establishment,804
E05009377,Hoxton East & Shoreditch,1,Lives in a household,11458
E05009377,Hoxton East & Shoreditch,2,Lives in a communal establishment,310
E05009378,Hoxton West,1,Lives in a household,13379
E05009378,Hoxton West,2,Lives in a communal establishment,373
E05009379,King's Park,1,Lives in a household,13047
E05009379,King's Park,2,Lives in a communal establishment,14
E05009380,Lea Bridge (Hackney),1,Lives in a household,14032
E05009380,Lea Bridge (Hackney),2,Lives in a communal establishment,92
E05009381,London Fields,1,Lives in a household,12664
E05009381,London Fields,2,Lives in a communal establishment,18
E05009382,Shacklewell,1,Lives in a household,9101
E05009382,Shacklewell,2,Lives in a communal establishment,24
E05009383,Springfield,1,Lives in a household,15317
E05009383,Springfield,2,Lives in a communal establishment,2
E05009384,Stamford Hill West,1,Lives in a household,10202
E05009384,Stamford Hill West,2,Lives in a communal establishment,143
E05009385,Stoke Newington,1,Lives in a household,13381
E05009385,Stoke Newington,2,Lives in a communal establishment,1
E05009386,Victoria (Hackney),1,Lives in a household,12097
E05009386,Victoria (Hackney),2,Lives in a communal establishment,59
E05009387,Woodberry Down,1,Lives in a household,11995
E05009387,Woodberry Down,2,Lives in a communal establishment,118
E05009388,Abingdon,1,Lives in a household,7777
E05009388,Abingdon,2,Lives in a communal establishment,117
E05009389,Brompton & Hans Town,1,Lives in a household,7745
E05009389,Brompton & Hans Town,2,Lives in a communal establishment,43
E05009390,Campden,1,Lives in a household,8608
E05009390,Campden,2,Lives in a communal establishment,16
E05009391,Chelsea Riverside,1,Lives in a household,7606
E05009391,Chelsea Riverside,2,Lives in a communal establishment,27
E05009392,Colville,1,Lives in a household,8573
E05009392,Colville,2,Lives in a communal establishment,1
E05009393,Courtfield,1,Lives in a household,7969
E05009393,Courtfield,2,Lives in a communal establishment,363
E05009394,Dalgarno,1,Lives in a household,7024
E05009394,Dalgarno,2,Lives in a communal establishment,188
E05009395,Earl's Court,1,Lives in a household,8723
E05009395,Earl's Court,2,Lives in a communal establishment,214
E05009396,Golborne,1,Lives in a household,8546
E05009396,Golborne,2,Lives in a communal establishment,257
E05009397,Holland,1,Lives in a household,9029
E05009397,Holland,2,Lives in a communal establishment,73
E05009398,Norland,1,Lives in a household,5699
E05009398,Norland,2,Lives in a communal establishment,2
E05009399,Notting Dale,1,Lives in a household,9135
E05009399,Notting Dale,2,Lives in a communal establishment,4
E05009400,Pembridge,1,Lives in a household,5062
E05009400,Pembridge,2,Lives in a communal establishment,317
E05009401,Queen's Gate,1,Lives in a household,7761
E05009401,Queen's Gate,2,Lives in a communal establishment,142
E05009402,Redcliffe,1,Lives in a household,9106
E05009402,Redcliffe,2,Lives in a communal establishment,88
E05009403,Royal Hospital,1,Lives in a household,8134
E05009403,Royal Hospital,2,Lives in a communal establishment,283
E05009404,St. Helen's (Kensington and Chelsea),1,Lives in a household,6126
E05009404,St. Helen's (Kensington and Chelsea),2,Lives in a communal establishment,32
E05009405,Stanley (Kensington and Chelsea),1,Lives in a household,8442
E05009405,Stanley (Kensington and Chelsea),2,Lives in a communal establishment,139
E05011095,Borough & Bankside,1,Lives in a household,7800
E05011095,Borough & Bankside,2,Lives in a communal establishment,1213
E05011096,Camberwell Green,1,Lives in a household,15450
E05011096,Camberwell Green,2,Lives in a communal establishment,59
E05011097,Champion Hill,1,Lives in a household,9216
E05011097,Champion Hill,2,Lives in a communal establishment,3
E05011098,Chaucer,1,Lives in a household,14135
E05011098,Chaucer,2,Lives in a communal establishment,597
E05011099,Dulwich Hill,1,Lives in a household,9508
E05011099,Dulwich Hill,2,Lives in a communal establishment,83
E05011100,Dulwich Village,1,Lives in a household,10206
E05011100,Dulwich Village,2,Lives in a communal establishment,49
E05011101,Dulwich Wood,1,Lives in a household,10410
E05011101,Dulwich Wood,2,Lives in a communal establishment,178
E05011102,Faraday,1,Lives in a household,12456
