Electoral wards and divisions Code,Electoral wards and divisions,Sex (2 categories) Code,Sex (2 categories),Observation
E05009317,Bethnal Green,1,Female,10738
E05009317,Bethnal Green,2,Male,10352
E05009318,Blackwall & Cubitt Town,1,Female,10396
E05009318,Blackwall & Cubitt Town,2,Male,11030
E05009319,Bow East,1,Female,10004
E05009319,Bow East,2,Male,9522
E05009320,Bow West,1,Female,6915
E05009320,Bow West,2,Male,6796
E05009321,Bromley North,1,Female,5767
E05009321,Bromley North,2,Male,5935
E05009322,Bromley South,1,Female,7160
E05009322,Bromley South,2,Male,6804
E05009323,Canary Wharf,1,Female,8951
E05009323,Canary Wharf,2,Male,9025
E05009324,Island Gardens,1,Female,7757
E05009324,Island Gardens,2,Male,7547
E05009325,Lansbury,1,Female,10824
E05009325,Lansbury,2,Male,10882
E05009326,Limehouse,1,Female,2973
E05009326,Limehouse,2,Male,3580
E05009327,Mile End (Tower Hamlets),1,Female,10664
E05009327,Mile End (Tower Hamlets),2,Male,10985
E05009328,Poplar (Tower Hamlets),1,Female,3977
E05009328,Poplar (Tower Hamlets),2,Male,4092
E05009329,St Dunstan's,1,Female,7532
E05009329,St Dunstan's,2,Male,7212
E05009330,St Katharine's & Wapping,1,Female,5688
E05009330,St Katharine's & Wapping,2,Male,6273
E05009331,St Peter's (Tower Hamlets),1,Female,10033
E05009331,St Peter's (Tower Hamlets),2,Male,9746
E05009332,Shadwell,1,Female,6585
E05009332,Shadwell,2,Male,6694
E05009333,Spitalfields & Banglatown,1,Female,6461
E05009333,Spitalfields & Banglatown,2,Male,6879
E05009334,Stepney Green,1,Female,6094
E05009334,Stepney Green,2,Male,6248
E05009335,Weavers,1,Female,6689
E05009335,Weavers,2,Male,6650
E05009336,Whitechapel,1,Female,9225
E05009336,Whitechapel,2,Male,9616
E05009367,Brownswood,1,Female,4721
E05009367,Brownswood,2,Male,4292
E05009368,Cazenove,1,Female,7940
E05009368,Cazenove,2,Male,7392
E05009369,Clissold,1,Female,6723
E05009369,Clissold,2,Male,5858
E05009370,Dalston,1,Female,4478
E05009370,Dalston,2,Male,4402
E05009371,De Beauvoir,1,Female,4757
E05009371,De Beauvoir,2,Male,4438
E05009372,Hackney Central,1,Female,6704
E05009372,Hackney Central,2,Male,6015
E05009373,Hackney Downs,1,Female,6854
E05009373,Hackney Downs,2,Male,6144
E05009374,Hackney Wick,1,Female,6354
E05009374,Hackney Wick,2,Male,5954
E05009375,Haggerston,1,Female,7474
E05009375,Haggerston,2,Male,6935
E05009376,Homerton,1,Female,7401
E05009376,Homerton,2,Male,6483
E05009377,Hoxton East & Shoreditch,1,Female,6019
E05009377,Hoxton East & Shoreditch,2,Male,5749
E05009378,Hoxton West,1,Female,7101
E05009378,Hoxton West,2,Male,6651
E05009379,King's Park,1,Female,6931
E05009379,King's Park,2,Male,6130
E05009380,Lea Bridge (Hackney),1,Female,7435
E05009380,Lea Bridge (Hackney),2,Male,6690
E05009381,London Fields,1,Female,6555
E05009381,London Fields,2,Male,6127
E05009382,Shacklewell,1,Female,4745
E05009382,Shacklewell,2,Male,4382
E05009383,Springfield,1,Female,8026
E05009383,Springfield,2,Male,7293
E05009384,Stamford Hill West,1,Female,5313
E05009384,Stamford Hill West,2,Male,5031
E05009385,Stoke Newington,1,Female,7064
E05009385,Stoke Newington,2,Male,6318
E05009386,Victoria (Hackney),1,Female,6444
E05009386,Victoria (Hackney),2,Male,5711
E05009387,Woodberry Down,1,Female,6262
E05009387,Woodberry Down,2,Male,5851
E05009388,Abingdon,1,Female,4185
E05009388,Abingdon,2,Male,3709
E05009389,Brompton & Hans Town,1,Female,4168
E05009389,Brompton & Hans Town,2,Male,3621
E05009390,Campden,1,Female,4509
E05009390,Campden,2,Male,4115
E05009391,Chelsea Riverside,1,Female,4170
E05009391,Chelsea Riverside,2,Male,3463
E05009392,Colville,1,Female,4541
E05009392,Colville,2,Male,4033
